Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name	Associated Transcript Name
ENSMUSG00000000078	ENSMUST00000000080	Klf6	Klf6-201
ENSMUSG00000000093	ENSMUST00000000095	Tbx2	Tbx2-001
ENSMUSG00000000094	ENSMUST00000108047	Tbx4	Tbx4-001
ENSMUSG00000000094	ENSMUST00000108045	Tbx4	Tbx4-002
ENSMUSG00000000094	ENSMUST00000000096	Tbx4	Tbx4-201
ENSMUSG00000000103	ENSMUST00000187148	Zfy2	Zfy2-002
ENSMUSG00000000103	ENSMUST00000115891	Zfy2	Zfy2-001
ENSMUSG00000000134	ENSMUST00000144715	Tfe3	Tfe3-011
ENSMUSG00000000134	ENSMUST00000132209	Tfe3	Tfe3-012
ENSMUSG00000000134	ENSMUST00000077680	Tfe3	Tfe3-003
ENSMUSG00000000134	ENSMUST00000079542	Tfe3	Tfe3-004
ENSMUSG00000000134	ENSMUST00000115679	Tfe3	Tfe3-005
ENSMUSG00000000134	ENSMUST00000137467	Tfe3	Tfe3-006
ENSMUSG00000000134	ENSMUST00000143680	Tfe3	Tfe3-007
ENSMUSG00000000134	ENSMUST00000115680	Tfe3	Tfe3-010
ENSMUSG00000000134	ENSMUST00000144900	Tfe3	Tfe3-013
ENSMUSG00000000134	ENSMUST00000115677	Tfe3	Tfe3-002
ENSMUSG00000000134	ENSMUST00000101695	Tfe3	Tfe3-008
ENSMUSG00000000134	ENSMUST00000115678	Tfe3	Tfe3-001
ENSMUSG00000000134	ENSMUST00000126694	Tfe3	Tfe3-009
ENSMUSG00000000134	ENSMUST00000133456	Tfe3	Tfe3-014
ENSMUSG00000000247	ENSMUST00000143783	Lhx2	Lhx2-003
ENSMUSG00000000247	ENSMUST00000149664	Lhx2	Lhx2-004
ENSMUSG00000000247	ENSMUST00000133661	Lhx2	Lhx2-005
ENSMUSG00000000247	ENSMUST00000000253	Lhx2	Lhx2-001
ENSMUSG00000000247	ENSMUST00000176229	Lhx2	Lhx2-007
ENSMUSG00000000247	ENSMUST00000155964	Lhx2	Lhx2-002
ENSMUSG00000000247	ENSMUST00000175896	Lhx2	Lhx2-006
ENSMUSG00000000282	ENSMUST00000000291	Mnt	Mnt-001
ENSMUSG00000000282	ENSMUST00000133217	Mnt	Mnt-003
ENSMUSG00000000282	ENSMUST00000132150	Mnt	Mnt-002
ENSMUSG00000000317	ENSMUST00000000326	Bcl6b	Bcl6b-001
ENSMUSG00000000317	ENSMUST00000153449	Bcl6b	Bcl6b-002
ENSMUSG00000000317	ENSMUST00000140542	Bcl6b	Bcl6b-003
ENSMUSG00000000435	ENSMUST00000000445	Myf5	Myf5-201
ENSMUSG00000000440	ENSMUST00000171644	Pparg	Pparg-001
ENSMUSG00000000440	ENSMUST00000203732	Pparg	Pparg-002
ENSMUSG00000000440	ENSMUST00000204305	Pparg	Pparg-004
ENSMUSG00000000440	ENSMUST00000203308	Pparg	Pparg-006
